datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200
2022-12-14 08:00:00,Binance:BTCUSDT,17775.82,18387.95,17660.94,17803.15,266681.22209,24.83,17224.48,16976.72,17839.18,18715.2,20780.68
2022-12-15 08:00:00,Binance:BTCUSDT,17804.01,17854.82,17275.51,17356.34,223701.96882,23.77,17263.48,17018.43,17770.88,18700.86,20720.12
2022-12-16 08:00:00,Binance:BTCUSDT,17356.96,17531.73,16527.32,16632.12,253379.04116,22.86,17217.8,17027.11,17697.62,18674.25,20644.61
2022-12-17 08:00:00,Binance:BTCUSDT,16631.5,16796.82,16579.85,16776.52,144825.66684,22.02,17211.79,17044.49,17621.31,18648.82,20569.48
2022-12-18 08:00:00,Binance:BTCUSDT,16777.54,16863.26,16663.07,16738.21,112619.31646,21.08,17163.2,17070.76,17539.88,18602.6,20504.15
2022-12-19 08:00:00,Binance:BTCUSDT,16739.0,16815.99,16256.3,16438.88,179094.28305,20.95,17094.23,17070.58,17456.11,18550.5,20434.08
2022-12-20 08:00:00,Binance:BTCUSDT,16438.88,17061.27,16397.2,16895.56,248808.92324,20.24,17071.04,17057.17,17384.21,18501.19,20370.05
2022-12-21 08:00:00,Binance:BTCUSDT,16896.15,16925.0,16723.0,16824.67,156810.96362,19.58,17045.0,17049.54,17311.03,18445.48,20304.86
2022-12-22 08:00:00,Binance:BTCUSDT,16824.68,16868.52,16559.85,16821.43,176044.27235,19.29,17006.16,17035.97,17244.42,18411.96,20239.37
2022-12-23 08:00:00,Binance:BTCUSDT,16821.9,16955.14,16731.13,16778.5,161612.00947,18.79,16906.54,17030.64,17175.83,18377.48,20166.39
2022-12-24 08:00:00,Binance:BTCUSDT,16778.52,16869.99,16776.62,16836.12,100224.29096,18.33,16809.83,17017.16,17089.59,18348.82,20094.95
2022-12-25 08:00:00,Binance:BTCUSDT,16835.73,16857.96,16721.0,16832.11,125441.07202,18.02,16757.41,17010.45,17000.24,18319.11,20028.09
2022-12-26 08:00:00,Binance:BTCUSDT,16832.11,16944.52,16791.0,16919.39,124564.00656,17.47,16786.14,17001.97,16920.52,18287.16,19962.13
