datetime,symbol,open,high,low,close,volume,adx,sma10,ema10,sma20,ema20,sma50,ema50,sma100,ema100,sma200,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2024-09-18 00:00:00,Binance:BTCUSDT,61135.49,61261.0,59618.26,59967.99,7151.64931,22.326993,58855.46,59296.5,59325.34,59138.91,58470.1,58542.66,57453.26,58325.45,58966.57,58881.06,60230.81120861755,58419.8707913822,61136.28141723522,57514.40058276453
2024-09-18 04:00:00,Binance:BTCUSDT,59967.98,60424.25,59715.42,60313.99,3241.65332,23.002607,58995.75,59481.5,59347.24,59250.82,58568.66,58612.12,57471.61,58364.82,58969.72,58895.31,60270.87830029796,58423.60269970179,61194.51610059605,57499.964899403705
2024-09-18 08:00:00,Binance:BTCUSDT,60313.99,60769.0,59854.6,60509.99,3991.84107,23.950291,59180.35,59668.49,59382.24,59370.74,58637.07,58686.55,57494.31,58407.3,58987.03,58911.38,60335.53629359634,58428.94370640341,61288.83258719281,57475.64741280694
2024-09-18 12:00:00,Binance:BTCUSDT,60510.0,60689.62,60199.68,60428.01,1833.32107,24.830282,59434.98,59806.59,59403.99,59471.44,58704.79,58754.84,57516.42,58447.32,59001.47,58926.47,60375.75508699025,58432.22291300949,61347.521173980625,57460.456826019115
2024-09-18 16:00:00,Binance:BTCUSDT,60428.01,60428.01,59348.88,59846.0,4528.13103,24.105951,59625.19,59813.75,59388.49,59507.11,58771.21,58797.63,57529.74,58475.01,59011.25,58935.62,60350.56687817615,58426.418121823604,61312.64125635242,57464.34374364733
2024-09-18 20:00:00,Binance:BTCUSDT,59846.0,60160.0,59308.61,59429.18,5117.9094,23.367757,59746.7,59743.83,59350.15,59499.69,58815.42,58822.4,57551.01,58493.91,59016.11,58940.53,60294.39534158282,58405.90765841693,61238.639183165775,57461.66381683398
2024-09-19 00:00:00,Binance:BTCUSDT,59429.19,61318.6,59174.8,60057.99,14645.02961,23.906671,59946.5,59800.95,59353.03,59552.86,58872.02,58870.85,57574.17,58524.88,59024.4,58951.65,60299.329695631524,58406.72130436822,61245.633891263176,57460.41710873657
2024-09-19 04:00:00,Binance:BTCUSDT,60057.99,61786.24,59473.68,61759.99,5970.79251,24.799585,60252.96,60157.14,59424.25,59763.06,58975.3,58984.15,57616.29,58588.94,59042.84,58979.59,60488.133252559724,58360.37574744003,61552.01200511957,57296.49699488019
2024-09-19 08:00:00,Binance:BTCUSDT,61759.98,62589.52,61555.0,62117.99,8344.2925,26.211315,60556.66,60513.66,59536.24,59987.34,59058.62,59107.05,57653.25,58658.82,59055.02,59010.82,60749.42183655072,58323.06416344904,61962.60067310155,57109.885326898206
2024-09-19 12:00:00,Binance:BTCUSDT,62117.98,62179.99,61814.0,62093.99,3360.24822,27.522208,60652.51,60800.99,59684.34,60187.97,59147.78,59224.18,57688.81,58726.85,59071.11,59041.5,61014.305767614016,58354.379232385734,62344.26903522815,57024.4159647716
2024-09-19 16:00:00,Binance:BTCUSDT,62094.0,62727.52,61888.18,62645.44,3685.66229,29.103986,60920.26,61136.35,59887.86,60422.02,59264.3,59358.35,57730.86,58804.44,59088.55,59077.36,61338.46876365217,58437.25123634757,62789.07752730447,56986.64247269527
2024-09-19 20:00:00,Binance:BTCUSDT,62645.44,63500.84,62582.14,63154.04,10166.54165,31.014356,61204.26,61503.2,60100.01,60682.21,59393.14,59507.2,57771.08,58890.57,59108.08,59117.92,61695.29788893396,58504.716111065776,63290.58877786805,56909.425222131686
2024-09-20 00:00:00,Binance:BTCUSDT,63154.03,63850.0,62940.0,63251.99,6054.8445,32.965997,61478.46,61821.16,60329.41,60926.95,59522.22,59654.05,57812.49,58976.94,59128.65,59159.06,62028.22166343919,58630.59233656055,63727.0363268785,56931.777673121236
2024-09-20 04:00:00,Binance:BTCUSDT,63251.99,63254.14,62650.0,62947.99,2720.93692,34.235491,61730.46,62026.04,60582.72,61119.43,59647.16,59783.23,57850.85,59055.57,59146.45,59196.76,62275.37840112822,58890.06559887152,63968.03480225657,57197.409197743174
2024-09-20 08:00:00,Binance:BTCUSDT,62948.0,63750.0,62606.0,63742.16,3621.8169,35.699991,62120.08,62338.06,60872.63,61369.22,59770.29,59938.48,57897.55,59148.38,59167.8,59241.99,62584.93767142383,59160.323328575905,64297.24484284779,57448.01615715195
2024-09-20 12:00:00,Binance:BTCUSDT,63742.15,64133.32,63390.32,63524.8,6638.35306,37.264572,62529.64,62553.83,61138.17,61574.51,59894.02,60079.12,57955.55,59235.04,59187.96,59284.6,62829.25520239606,59447.08679760368,64520.33940479224,57756.0025952075
2024-09-20 16:00:00,Binance:BTCUSDT,63524.81,63700.0,63090.43,63440.0,3743.75146,38.147303,62867.84,62714.95,61407.17,61752.17,59998.17,60210.92,58009.49,59318.3,59208.48,59325.95,63012.96325978763,59801.37874021211,64618.75551957539,58195.586480424354
2024-09-20 20:00:00,Binance:BTCUSDT,63440.01,63544.37,62553.9,63153.99,6589.92794,38.0169,63007.24,62794.78,61630.1,61885.68,60098.49,60326.33,58066.15,59394.26,59226.38,59364.04,63151.20323786374,60108.998762136005,64672.305475727604,58587.89652427214
2024-09-21 00:00:00,Binance:BTCUSDT,63153.99,63282.0,62350.0,62809.13,3393.59501,37.553978,63076.35,62797.39,61816.51,61973.63,60193.51,60423.7,58127.71,59461.88,59240.3,59398.32,63239.045019908976,60393.970980090766,64661.58203981808,58971.43396018166
2024-09-21 04:00:00,Binance:BTCUSDT,62809.13,63300.0,62709.3,63201.05,1478.93357,37.140388,63187.06,62870.78,61919.79,62090.53,60307.29,60532.61,58192.26,59535.92,59256.99,59436.16,63363.94773593137,60475.62326406837,64808.10997186286,59031.46102813687
2024-09-21 08:00:00,Binance:BTCUSDT,63201.05,63310.37,62816.47,62889.57,1640.98964,36.766379,63211.47,62874.2,62065.86,62166.63,60397.32,60625.04,58255.42,59602.33,59272.9,59470.52,63451.79895176148,60679.93004823827,64837.73340352308,59293.99559647666
2024-09-21 12:00:00,Binance:BTCUSDT,62889.58,63134.0,62758.0,63091.02,1209.98344,36.302715,63205.17,62913.62,62204.72,62254.66,60496.5,60721.75,58304.99,59671.41,59296.21,59506.54,63546.5910099387,60862.84099006106,64888.466019877524,59520.96598012223
2024-09-21 16:00:00,Binance:BTCUSDT,63091.02,63136.0,62966.01,63089.77,1035.11805,35.874435,63188.95,62945.65,62333.7,62334.2,60601.37,60814.61,58355.31,59739.1,59317.98,59542.2,63629.68015353058,61037.72984646918,64925.65530706127,59741.754692938484
2024-09-21 20:00:00,Binance:BTCUSDT,63089.76,63306.0,63036.92,63167.98,1603.27919,35.675697,63210.95,62986.07,62470.7,62413.6,60702.55,60906.9,58407.28,59807.0,59341.31,59578.28,63701.15060438809,61240.25639561166,64931.59770877631,60009.809291223435
2024-09-22 00:00:00,Binance:BTCUSDT,63167.98,63400.0,63086.0,63203.59,1787.68953,35.602246,63157.09,63025.62,62638.58,62488.84,60809.19,60996.97,58467.96,59874.26,59365.34,59614.35,63719.42492096884,61557.74107903092,64800.2668419378,60476.89915806196
2024-09-22 04:00:00,Binance:BTCUSDT,63203.59,63559.9,63058.0,63348.96,1098.28623,35.724703,63139.51,63084.41,62834.57,62570.76,60882.83,61089.2,58529.9,59943.07,59389.39,59651.51,63634.5882268908,62034.555773108965,64434.60445378172,61234.539546218046
2024-09-22 08:00:00,Binance:BTCUSDT,63348.97,63450.0,62830.01,63106.0,1863.74001,35.259575,63106.11,63088.33,62986.97,62621.73,60950.07,61168.29,58593.98,60005.7,59410.08,59685.88,63471.7542330638,62502.19076693596,63956.53596612773,62017.40903387203
2024-09-22 12:00:00,Binance:BTCUSDT,63106.0,63200.0,62838.0,62936.0,967.92007,34.827671,63084.31,63060.64,63045.77,62651.66,60998.83,61237.61,58663.58,60063.73,59427.57,59718.22,63441.26185816718,62650.28414183259,63836.75071633448,62254.79528366529
2024-09-22 16:00:00,Binance:BTCUSDT,62936.0,63034.99,62544.94,62784.0,1840.93484,33.680288,63081.79,63010.34,63079.07,62664.27,61047.92,61298.26,58730.82,60117.59,59438.39,59748.73,63419.205392148004,62738.94160785176,63759.33728429613,62398.80971570363
2024-09-22 20:00:00,Binance:BTCUSDT,62784.0,62930.0,62429.16,62652.12,2271.34613,32.332711,63026.9,62945.21,63106.98,62663.11,61098.2,61351.35,58795.54,60167.78,59447.03,59777.62,63381.76340701813,62832.19659298164,63656.54681403637,62557.41318596341
2024-09-23 00:00:00,Binance:BTCUSDT,62652.12,63229.5,62468.01,63160.0,2262.34879,31.597362,63053.94,62984.26,63132.71,62710.43,61167.27,61422.28,58861.26,60227.03,59460.24,59811.27,63386.34866753706,62879.06733246272,63639.989335074235,62625.426664925544
2024-09-23 04:00:00,Binance:BTCUSDT,63160.0,64000.0,62357.93,63578.76,5035.90908,31.973939,63102.72,63092.35,63153.94,62793.13,61241.33,61506.84,58939.01,60293.4,59484.0,59848.76,63425.620254312526,62882.26774568725,63697.296508625164,62610.59149137461
2024-09-23 08:00:00,Binance:BTCUSDT,63578.76,64745.88,62538.75,64354.0,7140.31946,33.069931,63229.14,63321.74,63209.04,62941.78,61332.21,61618.5,59022.56,60373.81,59508.21,59893.59,63586.26855982139,62831.82044017839,63963.49261964288,62454.596380356896
2024-09-23 12:00:00,Binance:BTCUSDT,64354.0,64455.13,63400.0,63548.82,3443.68917,34.087637,63267.23,63363.03,63239.09,62999.6,61403.32,61694.2,59117.59,60436.68,59530.89,59929.96,63618.24348246108,62859.928517538705,63997.40096492228,62480.77103507751
2024-09-23 16:00:00,Binance:BTCUSDT,63548.83,63710.0,63300.0,63435.04,2927.2427,34.768651,63290.37,63376.12,63223.73,63041.07,61468.9,61762.47,59216.6,60496.06,59551.46,59964.83,63588.134055687566,62859.32594431224,63952.53811137524,62494.921888624565
2024-09-23 20:00:00,Binance:BTCUSDT,63435.03,63806.0,63059.93,63618.0,5683.13836,34.776142,63317.27,63420.1,63228.39,63096.01,61537.34,61835.23,59313.15,60557.88,59570.99,60001.18,63597.183823974854,62859.59617602494,63965.97764794981,62490.802352049985
